order_id,customer_id,order_date,ship_date,ship_mode,region_id,order_status
ORD000082,CUST00454,2023-05-23,2023-05-28,Standard Class,7,Delivered
ORD000083,CUST06895,2023-07-03,2023-07-07,Standard Class,3,Delivered
ORD000084,CUST09871,2024-10-08,2024-10-12,Second Class,10,Delivered
ORD000085,CUST02585,2022-07-06,2022-07-13,Second Class,1,Delivered
ORD000086,CUST01570,2024-02-29,2024-03-02,First Class,3,Delivered
ORD000087,CUST02512,2022-01-13,2022-01-19,Second Class,10,Delivered
ORD000088,CUST03544,2024-01-16,2024-01-18,Standard Class,4,Delivered
ORD000089,CUST03553,2024-03-19,2024-03-25,Standard Class,5,Delivered
ORD000090,CUST02752,2022-12-30,2022-12-31,Same Day,1,Delivered
ORD000091,CUST09000,2023-05-16,2023-05-17,Same Day,8,Delivered
ORD000092,CUST01842,2022-03-13,2022-03-20,Second Class,10,Delivered
ORD000093,CUST04013,2022-02-07,2022-02-14,Standard Class,8,Cancelled
ORD000094,CUST09426,2023-10-18,2023-10-22,Standard Class,1,Delivered
ORD000095,CUST09533,2022-08-04,2022-08-10,Standard Class,8,Cancelled
ORD000096,CUST03483,2023-12-03,2023-12-10,Second Class,5,Delivered
ORD000097,CUST04214,2024-12-20,2024-12-22,Second Class,9,Cancelled
ORD000098,CUST01192,2022-08-21,2022-08-24,First Class,5,Cancelled
ORD000099,CUST01889,2023-09-16,2023-09-20,Standard Class,8,Delivered
ORD000100,CUST02186,2024-07-15,2024-07-16,Same Day,3,Delivered
ORD000101,CUST04170,2022-03-09,2022-03-16,Standard Class,1,Delivered
ORD000102,CUST08935,2024-11-30,2024-12-01,Second Class,5,Delivered
ORD000103,CUST03358,2023-01-02,2023-01-09,Second Class,2,Cancelled
ORD000104,CUST06139,2022-01-26,2022-01-27,Second Class,3,Delivered
ORD000105,CUST03825,2022-06-05,2022-06-10,Second Class,6,Delivered
ORD000106,CUST02625,2024-07-12,2024-07-16,First Class,3,Delivered
ORD000107,CUST03609,2022-12-02,2022-12-03,Standard Class,2,Cancelled
ORD000108,CUST05675,2024-08-15,2024-08-20,First Class,3,Delivered
ORD000109,CUST08096,2022-12-09,2022-12-13,Standard Class,2,Delivered
ORD000110,CUST08283,2024-04-01,2024-04-05,Standard Class,2,Cancelled
ORD000111,CUST08799,2024-08-17,2024-08-24,Same Day,3,Delivered
ORD000112,CUST01571,2023-01-03,2023-01-06,First Class,4,Cancelled
ORD000113,CUST02774,2023-06-10,2023-06-17,Same Day,8,Delivered
ORD000114,CUST02804,2022-02-02,2022-02-04,Standard Class,10,Delivered
ORD000115,CUST05538,2022-06-21,2022-06-25,Second Class,1,Delivered
ORD000116,CUST03234,2022-01-25,2022-01-28,Standard Class,10,Delivered
ORD000117,CUST05616,2022-06-02,2022-06-03,Standard Class,8,Delivered
ORD000118,CUST08645,2023-10-17,2023-10-18,First Class,9,Delivered
ORD000119,CUST04772,2022-12-02,2022-12-07,Same Day,8,Cancelled
ORD000120,CUST08136,2022-05-08,2022-05-10,First Class,7,Cancelled
ORD000121,CUST00114,2024-10-04,2024-10-05,Second Class,1,Cancelled
ORD000122,CUST04819,2024-03-15,2024-03-18,Standard Class,6,Delivered
ORD000123,CUST00128,2023-10-22,2023-10-25,Standard Class,8,Delivered
ORD000124,CUST07448,2024-06-23,2024-06-25,Same Day,4,Delivered
ORD000125,CUST00423,2023-01-19,2023-01-24,Standard Class,9,Delivered
ORD000126,CUST05915,2022-09-25,2022-09-26,Standard Class,2,Delivered
ORD000127,CUST03167,2022-05-10,2022-05-17,First Class,1,Cancelled
ORD000128,CUST06281,2023-02-05,2023-02-12,Standard Class,2,Delivered
ORD000129,CUST02929,2024-01-16,2024-01-17,First Class,1,Cancelled
ORD000130,CUST01084,2023-10-07,2023-10-08,Same Day,5,Cancelled
ORD000131,CUST01454,2022-06-09,2022-06-15,Same Day,1,Cancelled
ORD000132,CUST05762,2023-07-11,2023-07-16,Same Day,10,Cancelled
ORD000133,CUST06645,2024-11-10,2024-11-15,Second Class,2,Delivered
ORD000134,CUST00918,2023-06-06,2023-06-13,Same Day,10,Delivered
ORD000135,CUST04879,2023-09-23,2023-09-29,Standard Class,4,Delivered
ORD000136,CUST01636,2022-05-08,2022-05-09,First Class,6,Cancelled
ORD000137,CUST06589,2024-10-20,2024-10-27,Same Day,8,Cancelled
ORD000138,CUST05544,2022-05-26,2022-05-31,Second Class,5,Cancelled
ORD000139,CUST07929,2022-03-01,2022-03-02,Standard Class,10,Delivered
ORD000140,CUST06917,2022-07-13,2022-07-17,First Class,6,Delivered
ORD000141,CUST07647,2024-09-16,2024-09-23,Standard Class,3,Delivered
ORD000142,CUST00069,2023-02-26,2023-03-03,First Class,6,Delivered
ORD000143,CUST08271,2023-09-18,2023-09-22,Second Class,8,Cancelled
ORD000144,CUST03107,2022-10-06,2022-10-09,Second Class,1,Delivered
ORD000145,CUST04388,2023-01-09,2023-01-14,Same Day,4,Delivered
ORD000146,CUST02862,2024-10-25,2024-10-29,Same Day,3,Delivered
ORD000147,CUST05562,2023-03-17,2023-03-23,Same Day,1,Delivered
ORD000148,CUST03977,2023-06-07,2023-06-08,Same Day,7,Delivered
ORD000149,CUST06294,2024-12-18,2024-12-21,First Class,9,Delivered
ORD000150,CUST07454,2023-06-30,2023-07-02,Second Class,10,Delivered
ORD000151,CUST06438,2023-10-16,2023-10-22,First Class,3,Delivered
ORD000152,CUST09059,2022-06-08,2022-06-13,Same Day,8,Cancelled
ORD000153,CUST02549,2022-12-07,2022-12-14,Same Day,4,Delivered
ORD000154,CUST03845,2023-04-08,2023-04-15,First Class,1,Cancelled
ORD000155,CUST01710,2022-11-20,2022-11-21,Same Day,7,Delivered
ORD000156,CUST00969,2023-05-19,2023-05-22,Standard Class,5,Delivered
ORD000157,CUST06527,2022-07-08,2022-07-11,Second Class,5,Delivered
ORD000158,CUST06810,2022-12-29,2023-01-05,Second Class,7,Delivered
ORD000159,CUST06875,2024-12-17,2024-12-22,Second Class,4,Delivered
ORD000160,CUST00527,2024-01-17,2024-01-21,First Class,5,Delivered
ORD000161,CUST01921,2024-01-16,2024-01-19,First Class,4,Delivered
ORD000162,CUST01378,2023-08-18,2023-08-20,Standard Class,2,Cancelled
ORD000163,CUST09435,2023-11-27,2023-11-30,First Class,5,Delivered
ORD000164,CUST04733,2024-09-06,2024-09-12,Second Class,2,Delivered
ORD000165,CUST04920,2023-01-03,2023-01-10,Same Day,4,Delivered
ORD000166,CUST02645,2024-01-22,2024-01-23,Standard Class,2,Cancelled
ORD000167,CUST08047,2023-07-14,2023-07-21,Second Class,5,Cancelled
ORD000168,CUST09612,2023-08-14,2023-08-16,Same Day,3,Delivered
ORD000169,CUST03348,2024-06-22,2024-06-28,First Class,4,Cancelled
ORD000170,CUST09338,2024-02-07,2024-02-14,Standard Class,6,Delivered
ORD000171,CUST07614,2022-01-05,2022-01-06,First Class,2,Delivered
ORD000172,CUST01234,2024-01-25,2024-01-31,Second Class,5,Cancelled
ORD000173,CUST03844,2022-12-30,2023-01-05,Standard Class,6,Cancelled
ORD000174,CUST05314,2022-12-18,2022-12-21,Second Class,2,Delivered
ORD000175,CUST02299,2024-10-27,2024-10-28,First Class,7,Delivered
ORD000176,CUST07839,2023-05-04,2023-05-10,Same Day,3,Delivered
ORD000177,CUST00778,2023-02-26,2023-03-04,Standard Class,5,Cancelled
ORD000178,CUST06894,2022-01-28,2022-02-01,Same Day,2,Delivered
ORD000179,CUST09748,2024-02-13,2024-02-20,Same Day,4,Cancelled
ORD000180,CUST01679,2023-09-26,2023-10-01,Second Class,2,Cancelled
ORD000181,CUST05541,2022-03-17,2022-03-21,Standard Class,7,Delivered
ORD000182,CUST01369,2023-06-30,2023-07-04,First Class,10,Delivered
ORD000183,CUST02699,2022-07-29,2022-07-30,First Class,1,Delivered
ORD000184,CUST06805,2023-01-27,2023-01-28,Standard Class,1,Delivered
ORD000185,CUST07875,2022-04-18,2022-04-20,Second Class,9,Cancelled
ORD000186,CUST02190,2024-11-13,2024-11-15,Standard Class,3,Delivered
ORD000187,CUST04330,2024-03-11,2024-03-12,First Class,3,Delivered
ORD000188,CUST07571,2022-03-17,2022-03-24,Same Day,7,Cancelled
ORD000189,CUST02686,2024-10-31,2024-11-03,Standard Class,1,Delivered
ORD000190,CUST04560,2023-08-09,2023-08-10,First Class,3,Delivered
ORD000191,CUST07794,2024-03-14,2024-03-15,Second Class,8,Delivered
ORD000192,CUST08737,2023-05-21,2023-05-27,Same Day,2,Delivered
ORD000193,CUST08501,2024-01-25,2024-01-27,First Class,10,Delivered
ORD000194,CUST07710,2024-07-24,2024-07-27,Same Day,4,Cancelled
ORD000195,CUST09717,2024-10-28,2024-10-30,Second Class,1,Delivered
ORD000196,CUST07830,2023-10-06,2023-10-10,Same Day,10,Delivered
ORD000197,CUST07120,2024-03-09,2024-03-13,Standard Class,8,Delivered
ORD000198,CUST06046,2022-07-24,2022-07-25,Second Class,10,Delivered
ORD000199,CUST00073,2022-07-31,2022-08-03,First Class,4,Delivered
ORD000200,CUST07105,2023-04-30,2023-05-03,Standard Class,3,Delivered
ORD000201,CUST06277,2024-04-19,2024-04-24,Same Day,1,Cancelled
ORD000202,CUST05035,2023-03-10,2023-03-13,Same Day,7,Delivered
ORD000203,CUST01342,2024-09-22,2024-09-25,Second Class,2,Delivered
ORD000204,CUST04768,2022-07-01,2022-07-06,Second Class,7,Delivered
ORD000205,CUST05093,2022-10-08,2022-10-12,First Class,2,Delivered
ORD000206,CUST04546,2022-09-25,2022-10-02,First Class,10,Delivered
ORD000207,CUST05719,2022-05-05,2022-05-10,Second Class,6,Cancelled
ORD000208,CUST05512,2024-02-04,2024-02-06,Second Class,5,Delivered
ORD000209,CUST07425,2024-08-21,2024-08-28,First Class,1,Cancelled
ORD000210,CUST05940,2024-05-04,2024-05-10,First Class,8,Delivered
ORD000211,CUST04129,2024-09-22,2024-09-29,First Class,3,Delivered
ORD000212,CUST02795,2022-06-05,2022-06-07,First Class,9,Delivered
ORD000213,CUST09709,2024-05-08,2024-05-12,Standard Class,2,Cancelled
ORD000214,CUST02784,2023-10-27,2023-11-03,Second Class,8,Delivered
ORD000215,CUST07015,2023-07-15,2023-07-20,First Class,3,Delivered
ORD000216,CUST04175,2024-03-24,2024-03-28,Standard Class,3,Delivered
ORD000217,CUST08471,2023-04-04,2023-04-10,First Class,5,Delivered
ORD000218,CUST00965,2024-06-15,2024-06-16,First Class,2,Delivered
ORD000219,CUST04635,2022-06-18,2022-06-20,Second Class,7,Delivered
ORD000220,CUST03628,2024-08-20,2024-08-23,First Class,2,Delivered
ORD000221,CUST04058,2024-09-14,2024-09-18,First Class,3,Delivered
ORD000222,CUST05117,2024-05-04,2024-05-05,Second Class,7,Delivered
ORD000223,CUST00976,2022-02-14,2022-02-17,First Class,3,Delivered
ORD000224,CUST04032,2024-03-25,2024-04-01,Second Class,5,Cancelled
ORD000225,CUST08638,2022-06-06,2022-06-07,Same Day,9,Cancelled
ORD000226,CUST02359,2023-01-22,2023-01-26,Second Class,7,Delivered
ORD000227,CUST03581,2023-01-22,2023-01-28,Standard Class,5,Delivered
ORD000228,CUST01394,2022-05-16,2022-05-20,Same Day,1,Delivered
ORD000229,CUST03792,2023-02-19,2023-02-26,Standard Class,9,Delivered
ORD000230,CUST01423,2023-08-21,2023-08-24,First Class,4,Cancelled
ORD000231,CUST02962,2024-05-30,2024-05-31,Standard Class,10,Delivered
ORD000232,CUST07721,2022-06-28,2022-06-30,Standard Class,3,Delivered
ORD000233,CUST03937,2022-03-06,2022-03-11,Same Day,8,Cancelled
ORD000234,CUST07599,2024-10-18,2024-10-22,Same Day,4,Cancelled
ORD000235,CUST07474,2023-12-02,2023-12-09,Same Day,5,Delivered
ORD000236,CUST05421,2023-12-15,2023-12-18,Standard Class,4,Delivered
ORD000237,CUST05421,2024-10-29,2024-10-30,First Class,4,Delivered
ORD000238,CUST00828,2022-08-16,2022-08-17,Second Class,7,Delivered
ORD000239,CUST03366,2023-10-08,2023-10-11,Second Class,1,Delivered
ORD000240,CUST04088,2023-01-29,2023-02-04,Second Class,2,Delivered
ORD000241,CUST01145,2024-01-18,2024-01-24,First Class,9,Delivered
ORD000242,CUST00467,2023-11-20,2023-11-26,Same Day,1,Delivered
ORD000243,CUST00285,2024-02-11,2024-02-14,Same Day,3,Cancelled
ORD000244,CUST07210,2022-01-30,2022-02-03,First Class,2,Delivered
ORD000245,CUST04866,2022-09-10,2022-09-16,First Class,9,Cancelled
ORD000246,CUST01760,2024-06-13,2024-06-15,Same Day,5,Delivered
ORD000247,CUST02226,2023-06-07,2023-06-13,Same Day,10,Cancelled
ORD000248,CUST02856,2023-05-26,2023-05-27,First Class,1,Cancelled
ORD000249,CUST07832,2023-11-02,2023-11-09,Second Class,6,Delivered
ORD000250,CUST03751,2022-03-10,2022-03-12,First Class,9,Delivered
ORD000251,CUST01830,2024-07-18,2024-07-22,Second Class,6,Delivered
ORD000252,CUST09165,2023-06-26,2023-07-01,Standard Class,10,Delivered
ORD000253,CUST06293,2024-01-04,2024-01-05,First Class,10,Delivered
ORD000254,CUST06449,2023-07-20,2023-07-23,First Class,5,Cancelled
ORD000255,CUST05267,2023-05-30,2023-06-06,Second Class,4,Delivered
ORD000256,CUST01189,2022-03-03,2022-03-06,First Class,3,Delivered
ORD000257,CUST08624,2022-11-16,2022-11-23,Same Day,8,Delivered
ORD000258,CUST08089,2023-11-08,2023-11-11,Standard Class,2,Cancelled
ORD000259,CUST05680,2024-09-26,2024-10-01,Standard Class,2,Delivered
ORD000260,CUST00713,2024-02-09,2024-02-13,Second Class,7,Cancelled
ORD000261,CUST05632,2022-10-21,2022-10-28,Standard Class,3,Delivered
ORD000262,CUST05073,2022-04-28,2022-05-05,Standard Class,8,Cancelled
ORD000263,CUST08115,2022-03-08,2022-03-15,Second Class,5,Cancelled
ORD000264,CUST04067,2022-03-29,2022-04-04,Standard Class,7,Delivered
ORD000265,CUST04884,2023-03-30,2023-04-05,Standard Class,8,Delivered
ORD000266,CUST04395,2022-06-29,2022-07-03,First Class,8,Delivered
ORD000267,CUST05658,2022-12-30,2023-01-03,First Class,3,Delivered
ORD000268,CUST09201,2022-09-15,2022-09-22,Same Day,8,Delivered
ORD000269,CUST00856,2022-07-04,2022-07-07,Same Day,7,Delivered
ORD000270,CUST07670,2023-12-13,2023-12-16,Standard Class,6,Delivered
ORD000271,CUST06823,2024-05-01,2024-05-07,Standard Class,7,Cancelled
ORD000272,CUST09268,2023-09-10,2023-09-11,Second Class,7,Delivered
ORD000273,CUST06674,2024-03-05,2024-03-08,Standard Class,6,Delivered
ORD000274,CUST06772,2023-10-05,2023-10-06,Standard Class,2,Delivered
ORD000275,CUST05476,2023-03-01,2023-03-06,Same Day,4,Delivered
ORD000276,CUST06086,2022-09-27,2022-09-30,Standard Class,9,Delivered
ORD000277,CUST09945,2024-02-04,2024-02-08,Same Day,2,Delivered
ORD000278,CUST07040,2022-06-16,2022-06-18,Same Day,5,Cancelled
ORD000279,CUST04984,2024-09-22,2024-09-27,Same Day,10,Cancelled
ORD000280,CUST09366,2023-02-10,2023-02-11,Same Day,4,Delivered
ORD000281,CUST08105,2023-12-13,2023-12-15,Standard Class,5,Delivered
ORD000282,CUST03002,2024-03-07,2024-03-12,Second Class,6,Delivered
ORD000283,CUST02182,2024-05-14,2024-05-17,Second Class,1,Delivered
ORD000284,CUST04614,2022-10-02,2022-10-06,Same Day,10,Delivered
ORD000285,CUST06398,2022-08-15,2022-08-19,Second Class,2,Delivered
ORD000286,CUST06968,2024-10-25,2024-11-01,Second Class,8,Delivered
ORD000287,CUST05668,2024-12-09,2024-12-12,Second Class,7,Delivered
ORD000288,CUST02457,2024-05-10,2024-05-17,Second Class,4,Delivered
ORD000289,CUST05707,2024-04-26,2024-04-28,Same Day,8,Delivered
ORD000290,CUST07452,2023-12-24,2023-12-28,First Class,7,Delivered
ORD000291,CUST09962,2022-12-07,2022-12-14,First Class,2,Delivered
ORD000292,CUST00579,2023-09-03,2023-09-04,Second Class,3,Cancelled
ORD000293,CUST03572,2023-02-21,2023-02-22,Second Class,5,Delivered
ORD000294,CUST06242,2024-06-29,2024-07-02,Second Class,6,Delivered
ORD000295,CUST05596,2023-04-15,2023-04-22,Same Day,2,Delivered
ORD000296,CUST02479,2024-11-20,2024-11-26,Standard Class,4,Delivered
ORD000297,CUST09547,2024-05-29,2024-06-05,First Class,9,Cancelled
ORD000298,CUST01100,2022-10-12,2022-10-18,First Class,4,Delivered
ORD000299,CUST02681,2022-07-30,2022-07-31,Standard Class,8,Cancelled
ORD000300,CUST03426,2022-03-03,2022-03-10,Same Day,7,Cancelled
ORD000301,CUST06428,2024-03-16,2024-03-18,First Class,8,Delivered
ORD000302,CUST04035,2024-11-04,2024-11-05,Second Class,7,Delivered
ORD000303,CUST05510,2024-11-21,2024-11-24,Standard Class,4,Delivered
ORD000304,CUST00807,2024-10-03,2024-10-08,Second Class,10,Delivered
ORD000305,CUST03686,2022-03-05,2022-03-12,Same Day,6,Delivered
ORD000306,CUST03243,2023-12-08,2023-12-14,Standard Class,4,Delivered
ORD000307,CUST05619,2023-05-29,2023-06-04,Second Class,8,Delivered
ORD000308,CUST01608,2024-04-29,2024-05-03,First Class,1,Delivered
ORD000309,CUST06600,2022-04-22,2022-04-25,Same Day,9,Delivered
ORD000310,CUST01099,2024-07-23,2024-07-30,Second Class,7,Delivered
ORD000311,CUST04786,2022-11-07,2022-11-10,Standard Class,9,Delivered
ORD000312,CUST09821,2022-11-24,2022-12-01,Second Class,9,Delivered
ORD000313,CUST01210,2022-01-09,2022-01-15,First Class,2,Delivered
ORD000314,CUST08138,2024-08-14,2024-08-18,Same Day,5,Delivered
ORD000315,CUST01391,2023-05-19,2023-05-23,Same Day,6,Cancelled
ORD000316,CUST05676,2024-04-27,2024-05-04,Second Class,9,Delivered
ORD000317,CUST06337,2022-10-02,2022-10-08,Standard Class,10,Delivered
ORD000318,CUST09234,2023-07-05,2023-07-11,Standard Class,3,Delivered
ORD000319,CUST04858,2023-06-24,2023-06-29,Second Class,5,Delivered
ORD000320,CUST06706,2024-07-27,2024-07-31,Same Day,2,Delivered
ORD000321,CUST05570,2024-06-13,2024-06-16,Standard Class,1,Delivered
ORD000322,CUST05680,2024-01-23,2024-01-28,Same Day,8,Delivered
ORD000323,CUST09246,2022-10-18,2022-10-20,First Class,10,Delivered
ORD000324,CUST00251,2024-02-25,2024-03-03,Standard Class,10,Delivered
ORD000325,CUST07532,2022-06-28,2022-06-30,Standard Class,7,Cancelled
ORD000326,CUST05361,2022-08-06,2022-08-11,Second Class,7,Delivered
ORD000327,CUST08764,2024-12-23,2024-12-27,Standard Class,8,Delivered
ORD000328,CUST02292,2022-01-02,2022-01-08,Standard Class,4,Delivered
ORD000329,CUST02588,2022-07-25,2022-07-26,Standard Class,10,Cancelled
ORD000330,CUST07811,2024-03-22,2024-03-29,Same Day,4,Cancelled
ORD000331,CUST03267,2022-12-02,2022-12-03,Same Day,4,Delivered
ORD000332,CUST03667,2023-05-28,2023-06-02,Same Day,6,Cancelled
ORD000333,CUST07537,2024-09-16,2024-09-17,Standard Class,10,Delivered
ORD000334,CUST05341,2023-12-13,2023-12-17,Same Day,5,Delivered
ORD000335,CUST07837,2024-04-15,2024-04-19,Standard Class,6,Delivered
ORD000336,CUST07383,2024-03-11,2024-03-18,Second Class,10,Delivered
ORD000337,CUST04117,2022-06-05,2022-06-09,Standard Class,10,Delivered
ORD000338,CUST09008,2023-07-09,2023-07-13,Same Day,4,Delivered
ORD000339,CUST08235,2023-12-26,2023-12-31,Same Day,9,Delivered
ORD000340,CUST02636,2022-04-30,2022-05-07,First Class,4,Delivered
ORD000341,CUST02886,2022-10-07,2022-10-12,Same Day,7,Delivered
ORD000342,CUST08116,2023-10-10,2023-10-13,Standard Class,1,Delivered
ORD000343,CUST05012,2024-11-22,2024-11-23,Standard Class,2,Delivered
ORD000344,CUST05169,2024-03-01,2024-03-02,Same Day,1,Delivered
ORD000345,CUST09502,2022-02-22,2022-02-23,Standard Class,1,Cancelled
ORD000346,CUST08298,2023-03-06,2023-03-11,First Class,5,Cancelled
ORD000347,CUST03798,2024-06-22,2024-06-29,First Class,8,Delivered
ORD000348,CUST06585,2023-05-15,2023-05-22,Second Class,10,Delivered
ORD000349,CUST03452,2023-07-20,2023-07-21,Standard Class,10,Delivered
ORD000350,CUST01109,2024-02-14,2024-02-18,Second Class,3,Delivered
ORD000351,CUST05737,2023-02-16,2023-02-17,First Class,3,Delivered
ORD000352,CUST01111,2022-12-25,2022-12-28,Standard Class,2,Delivered
ORD000353,CUST05790,2023-02-07,2023-02-14,First Class,1,Delivered
ORD000354,CUST09461,2022-12-07,2022-12-13,First Class,2,Delivered
ORD000355,CUST07348,2023-10-05,2023-10-10,Standard Class,4,Delivered
ORD000356,CUST08885,2023-05-21,2023-05-26,Same Day,7,Cancelled
ORD000357,CUST07049,2024-03-08,2024-03-15,Standard Class,7,Delivered
ORD000358,CUST05246,2024-12-08,2024-12-13,Standard Class,4,Delivered
ORD000359,CUST03481,2022-02-04,2022-02-10,Same Day,9,Delivered
ORD000360,CUST04699,2024-12-29,2025-01-02,First Class,4,Delivered
ORD000361,CUST08365,2024-12-17,2024-12-18,Second Class,7,Delivered
ORD000362,CUST09314,2022-11-26,2022-12-02,Second Class,10,Cancelled
ORD000363,CUST06306,2022-01-18,2022-01-20,Same Day,4,Delivered
ORD000364,CUST02006,2022-01-10,2022-01-14,First Class,5,Delivered
